,Donor,Unnamed: 1,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
1212,GTZ,Germany,1990,1990,,1037,,,,NEP,Small Farmers Development III,SARD,,10/04/1990,,,,,0.00,1.00,,,1.00,Non-DVA,,,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/04/1990,,,,,Sovereign,,,,"PCR IN 145-98, 29Jun98",
1214,Asian Development Bank,"Germany,U.K.",1991,1991,,1085,,,,PHI,Shemberg Biotech Corporation,SERD,,06/06/1991,4.80,0.00,0.00,,4.80,,,,,,,,,,OCR,3500.0,Industry and Trade,,,,,Private Sector Development,,,,,,,,,,,,,
1216,Asian Development Bank,Germany,1991,1991,,1111,,,,INO,Bogor and Palembang Urban Dev,SERD,SESS,10/31/1991,126.50,0.00,0.00,,126.50,,,,,,,,,,OCR,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
1217,KfW,Germany,1991,1991,,1111,,,,INO,Bogor and Palembang Urban Dev,SERD,SESS,10/31/1991,,,,,0.00,,7.30,,7.30,Non-DVA,,,Bilateral,Loan,OCR,3900.0,Multisector,3900,,,,,,,10/31/1991,,,,,Sovereign,,,,"Adj: Cofinancing amt was adjusted from $14.7 to $7.3m. Bank loan adj to 126.5.    PCR IN.51-01, 9Mar01",
1219,Asian Development Bank,"France,Germany",1991,1991,,1143,,,,PAK,WAPDA Twelfth Power (Sector),CWRD,,12/13/1991,250.00,250.00,0.00,,500.00,,,,,,,,,,"OCR,ADF",3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
1220,KfW,Germany,1994,1991,,1143,,,,PAK,WAPDA Twelfth Power (Sector),CWRD,,11/01/1994,,,,,0.00,,81.25,,81.25,Non-DVA,,,Bilateral,Loan,,3200.0,Energy,,,,,,,,11/01/1994,,,,,Sovereign,,,,,
1222,Asian Development Bank,Germany,1991,1991,,1146,24268,,,PAK,Chasma Right Bank Irrigation III,CWRD,,12/17/1991,185.00,0.00,0.00,,185.00,,,,,,,,,,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,Succesful,,,,
1223,KfW,Germany,1991,1991,,1146,24268,,,PAK,Chasma Right Bank Irrigation III,CWRD,,12/17/1991,,,,,0.00,,43.00,,43.00,DVA,PS,,Bilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,12/17/1991,11/20/1992,,06/30/2011,,Sovereign,Succesful,,,with CF agreement 13Aug93.,
1225,Asian Development Bank,"Germany,World Bank",1992,1992,,1172,,,,INO,Power XXII,SERD,SEID,08/04/1992,272.30,0.00,0.00,,272.30,,,,,,,,,,OCR,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
1226,Germany,Germany,1992,1992,,1172,,,,INO,Power XXII,SERD,SEID,08/04/1992,,,,,0.00,,45.70,,45.70,Non-DVA,,,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,08/04/1992,,,,,Sovereign,,,,Adj Dec 05 from $70 to $45.70.,
1228,Asian Development Bank,"Germany,World Bank",1992,1992,,1209,,,,PAK,Flood Damage Restoration (Sector),CWRD,SAAE,12/15/1992,0.00,77.64,0.00,,77.64,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
1229,KfW,Germany,1992,1992,,1209,,,,PAK,Flood Damage Restoration (Sector),CWRD,SAAE,12/15/1992,,,,,0.00,,10.00,,10.00,Non-DVA,,,Bilateral,Loan,ADF,3900.0,Multisector,3900,,,,,,,12/15/1992,,,,,Sovereign,,,,KfW cf was added in Dec2007 ref PCR.,
1231,Asian Development Bank,"Germany,Norway,NDF",1994,1994,,1300/2194(L),,,,MON,Telecommunications,EARD,EATC,06/16/1994,0.00,24.01,0.00,,24.01,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
1232,KfW,Germany,1994,1994,,1300/2194(L),,,,MON,Telecommunications,EARD,EATC,06/16/1994,,,,,0.00,,7.02,,7.02,Non-DVA,,,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,06/16/1994,,,,,Sovereign,S,,,PCR sent to KfW on 13Mar02. Adj Dec06 from $6.42 to $7.02,
1234,Asian Development Bank,"Australia,Germany,World Bank,EC",1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,0.00,54.00,0.00,,54.00,,,,,,,,,,ADF,3400.0,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
1235,KfW,Germany,1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,,,,,0.00,14.23,,,14.23,Non-DVA,,,Bilateral,Grant,ADF,3400.0,Health and Social Protection,,,,,,,,11/10/1994,,,,,Sovereign,,,,,
1237,Asian Development Bank,"Japan,Germany,World Bank",1995,1995,,1398,,,,PHI,Northern Luzon Transmission & Generation,SERD,SEID,11/02/1995,180.00,0.00,0.00,,180.00,,,,,,,,,,OCR,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
1238,KfW,Germany,1995,1995,,1398,,,,PHI,Northern Luzon Transmission & Generation,SERD,SEID,11/02/1995,,,,,0.00,,27.80,,27.80,Non-DVA,,,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,11/02/1995,,,,,Sovereign,S,,,,
1240,Asian Development Bank,"Germany,Japan,EIB,IsDB,World Bank",1996,1996,,1424,,,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,300.00,0.00,0.00,,300.00,,,,,,,,,,OCR,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2010. Case Study: Clean Power to Benefit All, pp 18-19."
1241,KfW,Germany,1996,1996,,1424,,,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,,,,,0.00,,147.00,,147.00,Non-DVA,,,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,01/18/1996,,,,,Sovereign,,,,,"DR 2010. Case Study: Clean Power to Benefit All, pp 18-19."
1243,Asian Development Bank,"Germany,World Bank",1996,1996,,1460,,,,VIE,Population and Family Health,SERD,,09/19/1996,0.00,38.51,0.00,,38.51,,,,,,,,,,ADF,3400.0,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
1244,KfW,Germany,1996,1996,,1460,,,,VIE,Population and Family Health,SERD,,09/19/1996,,,,,0.00,15.02,,,15.02,Non-DVA,,,Bilateral,Grant,ADF,3400.0,Health and Social Protection,,,,,,,,09/19/1996,,,,,Sovereign,,,,Adj Dec05 KfW from $20 to $15.02   ADB loan from $43 to 38.51 ref PCR Nov04.,
1246,Asian Development Bank,"Germany,Norway",1997,1997,,1525,,,,LAO,Secondary Towns Urban Development,SERD,SESS,06/26/1997,0.00,24.40,0.00,,24.40,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
1247,KfW,Germany,1997,1997,,1525,,,,LAO,Secondary Towns Urban Development,SERD,SESS,06/26/1997,,,,,0.00,0.80,,,0.80,Non-DVA,,,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,06/26/1997,,,,,Sovereign,,,,,
1249,Asian Development Bank,Germany,1997,1997,,1559,,,,INO,"Belawan, Balikpapan and Banjarmasin Ports",SERD,,09/30/1997,100.00,0.00,0.00,,100.00,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
1250,KfW,Germany,1997,1997,,1559,,,,INO,"Belawan, Balikpapan and Banjarmasin Ports",SERD,,07/11/1997,,,,,0.00,,25.00,,25.00,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,07/11/1997,,,,,Sovereign,,,,No PCR in OSEC dbase.  Sent to OAS Feb08.,
1252,Asian Development Bank,"Australia,Germany",2001,2001,,1706/3632(L),29637,,,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,0.00,20.00,0.00,,20.00,,,,,,,,,,ADF,3100.0,Education,,,,,,,,,,,,,,Partly successful,,,"Original ADB project approved in 28 Oct 1999, cofinancing from AUS approved in 20  Feb 2001",
1253,German Development Service,Germany,2001,2001,,1706/3632(L),29637,,,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,,,,,0.00,2.45,,,2.45,Non-DVA,,,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,02/20/2001,,,,,Sovereign,Partly successful,,,"ref. R168-99, 5 Oct 99.  German Dev Service (GDS) is providing at least seven GDS specialists (parallel grant cf).",
1255,Asian Development Bank,"Germany,World Bank",2000,2000,,1769,,,,PHI,North Luzon Expressway Rehabilitation and Expansion,PSOD,PSOD,10/26/2000,45.00,0.00,0.00,,45.00,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
1257,Asian Development Bank,Germany,2001,2001,,1830,,,,BHU,Basic Skills Development,SARD,SASS,06/21/2001,0.00,7.00,0.00,,7.00,,,,,,,,,,ADF,3100.0,Education,,,,,,,,,,,,,,,,,,
1258,GTZ,Germany,2001,2001,,1830,,,,BHU,Basic Skills Development,SARD,SASS,06/21/2001,,,,,0.00,2.50,,,2.50,Non-DVA,,,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,06/21/2001,,,,,Sovereign,,,,Ref PCR Mar 10.  File to OAS Aug10. Not adjusted. From $2.5 to $3.0.,
1260,Asian Development Bank,"Germany,Netherlands,OFID",2001,2001,,1846/3742(L),34442,,,SRI,North East Community Restoration and Development,SARD,SAOC,10/16/2001,0.00,25.00,0.00,,25.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,HS,,,,
1261,GTZ,Germany,2001,2001,,1846/3742(L),34442,,,SRI,North East Community Restoration and Development,SARD,SAOC,10/16/2001,,,,,0.00,2.50,,,2.50,Non-DVA,,,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/16/2001,,,,,Sovereign,HS,,,Adj: $2.5 addl $3m cf for the 2nd phase of GTZ assist (ref SLRM memo 29Apr03) (TA parallel cf). Del $3 ref major change in scope 2007. Adj Dec07.,
1263,Asian Development Bank,Germany,2001,2001,,1871,,,,IND,Private Sector Infrastructure Facility at State Level,SARD,SAGF,12/11/2001,200.00,0.00,0.00,,200.00,,,,,,,,,,OCR,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
1264,KfW,Germany,2001,2001,,1871,,,,IND,Private Sector Infrastructure Facility at State Level,SARD,SAGF,12/11/2001,,,,,0.00,2.00,,,2.00,Non-DVA,,,Bilateral,Grant,OCR,3900.0,Multisector,3900,,,,,,,12/11/2001,,,,,Sovereign,,,,"Adj $105.0 deleted Dec05, official cf did not materialize ref KfW letter of 7Dec05/INRM 23Dec05 memo.",
1266,Asian Development Bank,"Germany,NDF",2001,2001,,1884/1885,,,,BAN,West Zone Power System Development,SARD,,12/17/2001,138.70,60.20,0.00,,198.90,,,,,,,,,,ADF,3200.0,Energy,,,,,,,,,,,,,,,,,,
1267,KfW,Germany,2001,2001,,1884/1885,,,,BAN,West Zone Power System Development,SARD,,12/17/2001,,,,,0.00,,30.00,,30.00,Non-DVA,,,Bilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/17/2001,,,,,Sovereign,,,,"R246-01, 26Nov01",
1269,Asian Development Bank,Germany,2002,2002,,1952,,,,BAN,Rural Infrastructure Improvement,SARD,SAAE,12/02/2002,0.00,60.00,0.00,,60.00,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,,
1270,GTZ,Germany,2002,2002,,1952,,,,BAN,Rural Infrastructure Improvement,SARD,SAAE,12/02/2002,,,,,0.00,5.00,,,5.00,Non-DVA,,,Bilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,12/02/2002,,,,,Sovereign,,,,"R259-02, 11Nov02",
1271,KfW,Germany,2002,2002,,1952,,,,BAN,Rural Infrastructure Improvement,SARD,SAAE,12/02/2002,,,,,0.00,11.90,,,11.90,Non-DVA,,,Bilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,12/02/2002,,,,,Sovereign,,,,,
1273,Asian Development Bank,"Germany,Finland,Cities Alliance",2003,2003,,2063,32499,,,PHI,Development of Poor Urban Communities Sector,SERD,SESS,12/19/2003,30.50,0.00,0.00,,30.50,,,,,,,,,,OCR,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
1274,GTZ,Germany,No Approval Date,2003,,2063,32499,,,PHI,Development of Poor Urban Communities Sector,SERD,SESS,,,,,,0.00,0.40,,,0.40,Non-DVA,,,Bilateral,Grant,,3900.0,Multisector,3900,,,,,,,,,,,,Sovereign,,,,,
1276,GTZ,Germany,2004,2004,,2092,30232,,,,Decentralized Rural Infrastructure and Livelihood,SARD,SAAE,09/24/2004,,,,,0.00,0.70,,,0.70,Non-DVA,,,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,09/24/2004,,,,,Sovereign,,,,,
1278,Asian Development Bank,"Germany,Switzerland",2004,2004,,2092,30232,,,NEP,Decentralized Rural Infrastructure and Livelihood,SARD,SAAE,09/24/2004,0.00,40.00,0.00,,40.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
1280,Asian Development Bank,"France,Germany",2004,2004,,2095,34344,,,VIE,Small and Medium-Sized Enterprise Development Program (Subprogram I),SERD,SEGF,10/21/2004,0.00,60.00,0.00,,60.00,,,,,,,,,,ADF,3500.0,Industry and Trade,,,,,,,,,,,,,,Succesful,,,,
1281,KfW,Germany,2004,2004,2095 (CL),2095,34344,,,VIE,Small and Medium-Sized Enterprise Development Program (Subprogram I),SERD,SEGF,10/21/2004,,,,,0.00,,17.00,,17.00,DVA,,Collaborative,Bilateral,Loan,ADF,3500.0,Industry and Trade,,,,,,,,10/21/2004,04/06/2005,,12/11/2006,,Sovereign,Succesful,,,Procedural Arrangement between ADB & KfW was signed on 31May05 (Euro 14million). Dec09 adj. from non DVA to DVA,
1283,Asian Development Bank,"U.K.,Germany",2006,2006,,2254/0053,36224,,,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,0.00,96.10,0.00,,96.10,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
1284,GTZ,Germany,2006,2006,,2254/0053,36224-01,,,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,,,,,0.00,3.60,,,3.60,Non-DVA,,,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,08/18/2006,,,,,Sovereign,,,,,
1285,KfW,Germany,2006,2006,,2254/0053,36224-01,,,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,,,,,0.00,21.60,,,21.60,Non-DVA,,,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,08/18/2006,,,,,Sovereign,,,,,
1287,Asian Development Bank,"Australia,Canada,Denmark,U.K.,Germany,Ireland,Spain,EC,World Bank",2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
1288,KfW,Germany,2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0.00,,7.60,,7.60,Non-DVA,,,Bilateral,Loan,ADF,3900.0,Multisector,3900,,,,,,,10/05/2006,,,,,Sovereign,,,,€6 million.,
1290,Asian Development Bank,Germany,2006,2006,,2281,36343,,,IND,Rural Cooperative Credit Restructuring and Development Program,SARD,SAGF,11/23/2006,"1,000.00",0.00,0.00,,"1,000.00",,,,,,,,,,OCR,3300.0,Finance,,,,,Sustainable Economic Growth,,,,,,,,,Less than Successful,,,,
1291,KfW,Germany,2006,2006,2281 (CL),2281,36343,,,IND,Rural Cooperative Credit Restructuring and Development Program,SARD,SAGF,11/23/2006,,,,,0.00,,151.80,,151.80,DVA,,Collaborative,Bilateral,Loan,OCR,3300.0,Finance,,,,,,,,11/23/2006,02/21/2007,,,,Sovereign,Less than Successful,,,"KfW has earmarked at least €140m for supporting CCS reform. Of this, €10m will be reserved for TA. KfW's cf will be provided in a parallel financing arrangement. Procedural arrangement was signed 13Mar08.  $186.02 based on Partnership Brief for Germany, not $151.80 million",
1293,Asian Development Bank,"France,Germany",2006,2006,,2284,38335,,,VIE,Small and Medium Enterprise Development Program - Subprogram II,SERD,SEGF,12/12/2006,0.00,20.00,0.00,,20.00,,,,,,,,,,ADF,3500.0,Industry and Trade,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,,
1294,KfW,Germany,2006,2006,2284 (CL),2284,38335,,,VIE,Small and Medium Enterprise Development Program - Subprogram II,SERD,SEGF,12/12/2006,,,,,0.00,,7.57,,7.57,DVA,PS,Collaborative,Bilateral,Loan,ADF,3500.0,Industry and Trade,,,,,,,,12/12/2006,06/05/2007,,03/31/2009,,Sovereign,Succesful,,,KfW is providing € 6 m ($7.57m) for Subprogram II.   PCR 21Dec09.,
1296,Asian Development Bank,Germany,2006,2006,,2301,37697,,,MON,Urban Development Sector,EARD,EASS,12/19/2006,0.00,28.20,0.00,,28.20,,,,,,,,,,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
1297,German Development Service,Germany,2006,2006,,2301,37697,,,MON,Urban Development Sector,EARD,EASS,12/19/2006,,,,,0.00,1.20,,,1.20,Non-DVA,,,Bilateral,Grant,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/19/2006,,,,,Sovereign,,,,,
1298,GTZ,Germany,2006,2006,,2301,37697,,,MON,Urban Development Sector,EARD,EASS,12/19/2006,,,,,0.00,0.24,,,0.24,Non-DVA,,,Bilateral,Grant,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/19/2006,,,,,Sovereign,,,,,
1300,Asian Development Bank,"Australia,Canada,Denmark,Germany,Spain,Ireland,Netherlands,U.K.,World Bank",2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
1301,Germany,Germany,2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0.00,,8.00,,8.00,Non-DVA,,,Bilateral,Loan,ADF,3900.0,Multisector,3900,Multisector,,,,,,10/02/2007,,,,,Sovereign,,,,Loan Euro 6m.,
1303,Asian Development Bank,Germany,2008,2008,,2462,40559,,,BAN,Second Urban Governance and Infrastructure Improvement (Sector),SARD,,10/28/2008,0.00,87.00,0.00,,87.00,,,,,,,,,,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,,
1304,GTZ,Germany,2008,2008,,2462,40559,,,BAN,Second Urban Governance and Infrastructure Improvement (Sector),SARD,,10/28/2008,,,,,0.00,4.70,,,4.70,Non-DVA,,,Bilateral,Grant,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,10/28/2008,,,,,Sovereign,,,,GTZ grant of Euro 3m to support part of the capacity dev program under the proj.,
1305,KfW,Germany,2008,2008,,2462,40559,,,BAN,Second Urban Governance and Infrastructure Improvement (Sector),SARD,,10/28/2008,,,,,0.00,36.10,,,36.10,Non-DVA,,,Bilateral,Grant,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,10/28/2008,,,,,Sovereign,,,,KfW will cover 30% of pourashavas and finance 90% of civil works and 100% of their equipment purchases.,
1307,Asian Development Bank,"Germany,EIB",2008,2008,,2476,,,,IND,Rural Electrification of India,SARD,SAGF,11/27/2008,225.00,0.00,0.00,,225.00,,,,,,,,,,OCR,3200.0,Energy,,,,,,,,,,,,,,,,,,
1308,KfW,Germany,2008,2008,,2476,,,,IND,Rural Electrification of India,SARD,SAGF,11/27/2008,,,,,0.00,,80.00,,80.00,Non-DVA,,,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,11/27/2008,,,,,Non-Sovereign,,,,From collaborative to non DVA (24Mar10),
1310,Asian Development Bank,"Germany,EBRD",2010,2010,,2620,,,,ARM,Zvartnots Airport Expansion Project (Phase 2),PSOD,PSIF,03/26/2010,40.00,0.00,0.00,,40.00,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,,
1311,DEG,Germany,2010,2010,,2620,,,,ARM,Zvartnots Airport Expansion Project (Phase 2),PSOD,PSIF,03/26/2010,,,,,0.00,,20.00,,20.00,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,03/26/2010,,,,,Non-Sovereign,,,,Borrower - Armenia International Airport.,
1313,GTZ,Germany,2010,2010,,2632/0202/0203,,,,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,,,,,0.00,4.60,,,4.60,Non-DVA,,,Bilateral,Grant,OCR,3900.0,Multisector,3900,,,,,,,04/16/2010,,,,,Sovereign,,,,,
1315,Asian Development Bank,Germany,2011,2011,,2695/0323,39298-013,,,BAN,City Region Development,SARD,SAUW,10/31/2011,,120.00,,,120.00,,,,,,,,,,,3800.0,Water and Other Municipal Infrastructure and Services,,,,,Sustainable Economic Growth,,,,,,,,,,,,"Project approved in 10Nov2010, cofinancing approved in 31 October 2011",
1316,KfW,Germany,2011,2011,2695 (CG),2695/0323,39298-013,,,BAN,City Region Development,SARD,SAUW,10/31/2011,,,,,0.00,14.86,,,14.86,DVA,,Collaborative,Bilateral,Grant,,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,10/31/2011,09/23/2011,,,,Sovereign,,,,"Project approved in 10Nov2010, Cofinancing in 2011",
1318,Asian Development Bank,Germany,2010,2010,,2696,40515,,,BAN,Sustainable Rural Infrastructure Improvement,SARD,SANS,11/11/2010,0.00,60.00,0.00,,60.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
1319,KfW,Germany,2010,2010,2696 (CG),2696,40515,,,BAN,Sustainable Rural Infrastructure Improvement,SARD,SANS,11/11/2010,,,,,0.00,15.90,,,15.90,DVA,Others,Collaborative,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,11/11/2010,05/10/2011,,,,Sovereign,,,,KfW ero 13m grant cf parallel basis.  Collaborative grant cf.,
1321,Asian Development Bank,Germany,2010,2010,,2731,39500,M0052,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 1,SERD,SETC,12/22/2010,40.00,0.00,0.00,,40.00,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,Tranche 1 not PFR 1 related to MFF 0052  Project 2: ADB OCR = 500.0                  KfW = 276.6                  EIB = 195.0                  Gov't = 298.6,
1322,KfW,Germany,2010,2010,2731 (CL),2731,39500,,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 1,SERD,,12/22/2010,,,,,0.00,,36.40,,36.40,DVA,PS,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/22/2010,12/20/2011,,,,Sovereign,,,,"KfW parallel cofinancing, not administered by ADB",
1324,Asian Development Bank,"Germany,IFAD,SCF-PPCR",2012,2012,0310,2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,20.00,,,20.00,,,,,,,,,,,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
1325,KfW,Germany,2012,2012,2913 (CG),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0.00,8.80,,,8.80,DVA,PS,Collaborative,Bilateral,Grant,,3700.0,Transport and ICT,,,,,,,,09/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
1327,Asian Development Bank,Germany,2012,2012,,2914,41627-053,MFF0023,,IND,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,SARD,SAEN,10/02/2012,315.00,,,,315.00,,,,,,,,,,,3200.0,Energy,3202,Large Hydropower,,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
1328,KfW,Germany,2012,2012,2914 (CL),2914,41627-053,MFF0023,,IND,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,SARD,SAEN,10/02/2012,,,,,0.00,,200.00,,200.00,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Large Hydropower,,,,No,,10/02/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
1330,Asian Development Bank,"Germany,EIB",2012,2012,,2956,39500-033,0052,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,500.00,,,,500.00,,,,,,,,,,,3700.0,Transport and ICT,3711,Urban Transport,,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. para in SERD section on New Initiatives, pp 25."
1331,KfW,Germany,2012,2012,2956 (CL),2956,39500-033,0052,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,,,,,0.00,,276.60,,276.60,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Urban Transport,,,,Yes,,11/27/2012,,,,,Sovereign,,,,,"DR 2012. para in SERD section on New Initiatives, pp 25."
1333,Asian Development Bank,"Germany,WHO",2012,2012,,2963,45009-002,,,MON,Fifth Health Sector Development,EARD,EASS,12/10/2012,,30.00,,,30.00,,,,,,,,,,,3400.0,Health and Social Protection,3413,Health Systems,,,Inclusive Social and Gender Development,,,,,,,,,,,,,"DR 2012. para in EARD section on New Joint Initiatives, pp 12."
1335,Asian Development Bank,Germany,2015,2015,,3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission Crossing—Additional Cofinancing,SERD,SEEN,10/28/2015,,,,,0.00,,,,,,,,,,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
1336,KfW,Germany,2015,2015,3083 (CL),3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission Crossing—Additional Cofinancing,SERD,SEEN,10/28/2015,,,,,0.00,,57.00,,57.00,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,,Yes,,10/28/2015,,,,,Sovereign,,,,,
